STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DAPR_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,3/16/1970,,,,,0,",,0,1800",0,",,0,",0,",,0,",43,",,0",26,",,0",40,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,3/17/1970,,,,,0,",,0,1800",0,",,0,",0,",,0,",51,",,0",18,",,0",41,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,3/18/1970,,,,,0.61,",,0,1800",0,",,0,",0,",,0,",49,",,0",13,",,0",47,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,3/19/1970,,,,,0,",,0,1800",0,",,0,",0,",,0,",48,",,0",37,",,0",43,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,3/20/1970,,,,,0.37,",,0,1800",0,",,0,",0,",,0,",47,",,0",40,",,0",46,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,3/21/1970,,,,,0.05,",,0,1800",0,",,0,",0,",,0,",57,",,0",43,",,0",48,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,3/22/1970,,,,,0.34,",,0,1800",0,",,0,",0,",,0,",48,",,0",40,",,0",43,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,3/23/1970,,,,,0,",,0,1800",0,",,0,",0,",,0,",58,",,0",35,",,0",55,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,3/24/1970,,,,,0.08,",,0,1800",0,",,0,",0,",,0,",57,",,0",36,",,0",53,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,3/25/1970,,,,,0,",,0,1800",0,",,0,",0,",,0,",62,",,0",28,",,0",50,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,3/26/1970,,,,,0.01,",,0,1800",0,",,0,",0,",,0,",72,",,0",40,",,0",70,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,3/27/1970,,,,,0.34,",,0,1800",0,",,0,",0,",,0,",69,",,0",37,",,0",52,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,3/28/1970,,,,,0,",,0,1800",0,",,0,",0,",,0,",68,",,0",35,",,0",64,",,0,1800"
